Year,PreviousTableFinish,Country,NewCoach
2020,2,England,0
2021,1,England,0
2022,5,England,0
2023,3,England,1
2024,4,England,0
2025,3,England,0
2020,4,France,1
2021,2,France,0
2022,2,France,0
2023,1,France,0
2024,2,France,0
2025,2,France,0
2020,3,Ireland,1
2021,3,Ireland,0
2022,3,Ireland,0
2023,2,Ireland,0
2024,1,Ireland,0
2025,1,Ireland,1
2020,6,Italy,1
2021,6,Italy,0
2022,6,Italy,1
2023,6,Italy,0
2024,6,Italy,1
2025,5,Italy,0
2020,5,Scotland,0
2021,4,Scotland,0
2022,4,Scotland,0
2023,4,Scotland,0
2024,3,Scotland,0
2025,4,Scotland,0
2020,1,Wales,1
2021,5,Wales,0
2022,1,Wales,0
2023,5,Wales,1
2024,5,Wales,0
2025,6,Wales,0