Home,Away,HomeScore,AwayScore,Year,HomeWin
Wales,Ireland,10,34,2023,0
England,Scotland,23,29,2023,0
Italy,France,24,29,2023,0
Ireland,France,32,19,2023,1
Scotland,Wales,35,7,2023,1
England,Italy,31,14,2023,1
Italy,Ireland,20,34,2023,0
Wales,England,10,20,2023,0
France,Scotland,32,21,2023,1
Italy,Wales,17,29,2023,0
England,France,10,53,2023,0
Scotland,Ireland,7,22,2023,0
Scotland,Italy,26,14,2023,1
France,Wales,41,28,2023,1
Ireland,England,29,16,2023,1
Wales,Ireland,10,34,2022,0
England,Scotland,23,29,2022,0
Italy,France,24,29,2022,0
Ireland,France,32,19,2022,1
Scotland,Wales,35,7,2022,1
England,Italy,31,14,2022,1
Italy,Ireland,20,34,2022,0
Wales,England,10,20,2022,0
France,Scotland,32,21,2022,1
Italy,Wales,17,29,2022,0
England,France,10,53,2022,0
Scotland,Ireland,7,22,2022,0
Scotland,Italy,26,14,2022,1
France,Wales,41,28,2022,1
Ireland,England,29,16,2022,1
Italy,France,10,50,2021,0
England,Scotland,6,11,2021,0
Wales,Ireland,21,16,2021,1
England,Italy,41,18,2021,1
Scotland,Wales,24,25,2021,0
Ireland,France,13,15,2021,0
Italy,Ireland,10,48,2021,0
Wales,England,40,24,2021,1
Italy,Wales,7,48,2021,0
England,France,23,20,2021,1
Scotland,Ireland,24,27,2021,0
Scotland,Italy,52,10,2021,1
Ireland,England,32,18,2021,1
France,Wales,32,30,2021,1
France,Scotland,23,27,2021,0
Wales,Italy,42,0,2020,1
Ireland,Scotland,19,12,2020,1
France,England,24,17,2020,1
Ireland,Wales,24,14,2020,1
Scotland,England,6,13,2020,0
France,Italy,35,22,2020,1
Italy,Scotland,0,17,2020,0
Wales,France,23,27,2020,0
England,Ireland,24,12,2020,1
England,Wales,33,30,2020,1
Scotland,France,28,17,2020,1
Ireland,Italy,50,17,2020,1
Wales,Scotland,10,14,2020,0
Italy,England,5,34,2020,0
France,Ireland,35,27,2020,1
France,Ireland,17,38,2024,0
Italy,England,24,27,2024,0
Wales,Scotland,26,27,2024,0
Scotland,France,16,20,2024,0
England,Wales,16,14,2024,1
Ireland,Italy,36,0,2024,1
Ireland,Wales,31,7,2024,1
Scotland,England,30,21,2024,1
France,Italy,13,13,2024,0
Italy,Scotland,31,29,2024,1
England,Ireland,23,22,2024,1
Wales,France,24,45,2024,0
Wales,Italy,21,24,2024,0
Ireland,Scotland,17,13,2024,1
France,England,33,31,2024,1